p_win,run_date
0.2707500000000003,2024-05-01
0.27525000000000016,2024-05-02
0.25024999999999975,2024-05-03
0.2565,2024-05-04
0.2244999999999998,2024-05-05
0.2782500000000001,2024-05-06
0.27249999999999985,2024-05-07
0.2765000000000001,2024-05-08
0.28225000000000044,2024-05-09
0.2437499999999998,2024-05-10
0.2457499999999999,2024-05-11
0.23824999999999977,2024-05-12
0.2435000000000001,2024-05-13
0.27199999999999946,2024-05-14
0.2275000000000003,2024-05-15
0.2315,2024-05-16
0.2142500000000001,2024-05-17
0.22074999999999995,2024-05-18
0.20575,2024-05-19
0.24475000000000016,2024-05-20
0.2102500000000001,2024-05-21
0.21600000000000005,2024-05-22
0.2292499999999998,2024-05-23
0.21800000000000003,2024-05-24
0.2130000000000001,2024-05-25
0.21125000000000016,2024-05-26
0.21775000000000033,2024-05-27
0.2015000000000005,2024-05-28
0.1740000000000003,2024-05-29
0.1782499999999999,2024-05-30
0.17499999999999943,2024-05-31
