group,estimate,.lower,.upper,.width,.point,.interval
a,-0.0119312,-0.022657323,-7.559728099999998e-4,0.66,median,qi
lv,0,0,0,0.66,median,qi
rv,0.008689039999999999,0.0038004294,0.013625795,0.66,median,qi
v,0.010021200000000001,-0.0073241751,0.027139840999999998,0.66,median,qi
a,-0.0119312,-0.0342304675,0.010405394999999993,0.95,median,qi
lv,0,0,0,0.95,median,qi
rv,0.008689039999999999,-0.0012385892499999955,0.0186862625,0.95,median,qi
v,0.010021200000000001,-0.025696677499999994,0.04564345499999999,0.95,median,qi
